{'CNNMamba_Res64_Data25'},0.8448,0.0208,0.8343,0.0267,0.8396,0.0226,0.8381,0.0305
{'CNNMamba_Res64_Data50'},0.8307,0.0112,0.8224,0.0110,0.8265,0.0087,0.8233,0.0139
{'CNNMamba_Res64_Data100'},0.8427,0.0037,0.8347,0.0043,0.8411,0.0022,0.8334,0.0064
{'CNNMamba_Res128_Data25'},0.9209,0.0204,0.9129,0.0244,0.9160,0.0221,0.9137,0.0271
{'CNNMamba_Res128_Data50'},0.9105,0.0079,0.9023,0.0074,0.9059,0.0107,0.9033,0.0075
{'CNNMamba_Res128_Data100'},0.9273,0.0055,0.9200,0.0067,0.9215,0.0074,0.9223,0.0064
{'CNNMamba_Res224_Data25'},0.9328,0.0200,0.9256,0.0239,0.9286,0.0172,0.9261,0.0273
{'CNNMamba_Res224_Data50'},0.9381,0.0121,0.9318,0.0141,0.9324,0.0116,0.9339,0.0146
{'CNNMamba_Res224_Data100'},0.9463,0.0055,0.9399,0.0066,0.9423,0.0062,0.9402,0.0073
{'CNNMamba_Res512_Data25'},0.9433,0.0269,0.9376,0.0297,0.9394,0.0287,0.9391,0.0294
